MSINI,A,ECC,K,STAR
mjupiter,au,,m/s,
1.77912,0.53813,0,65.4,xi Aql
4.11582,2.52452,0.267395,66.6805,upsilon And
1.91855,0.830445,0.223848,53.6229,upsilon And
0.669277,0.0593858,0.013,68.2132,upsilon And
1.2147,2.51797,0.07,19.6,tau Gru
4.13,0.0480039,0.023,466.4,tau Boo
1.06409,0.225692,0.057,64.9,rho CrB
4.09607,3.94973,0.13,33.6,omicron UMa
1.47736,0.826048,0.191,32.25,omicron CrB
1.70083,1.07698,0.106,31.8,omega Ser
2.4,1.12966,0.09,52,mu Leo
1.88907,5.34057,0.0985,21.79,mu Ara
1.74552,1.5273,0.128,37.78,mu Ara
0.543322,0.93961,0.0666,14.91,mu Ara
0.0345873,0.0927843,0.172,3.06,mu Ara
1.9747,2.71619,0.125,27.3,kappa CrB
2.04683,0.92376,0.14,57.1,iota Hor
9.31534,1.31029,0.7124,307.6,iota Dra
10.3722,1.29554,0.144,208.3,gamma Leo A
1.51728,1.9793,0.12,27.5,gamma Cep
3.28703,1.91985,0.025,51.7,eta Cet
2.5485,1.28444,0.155,49.6,eta Cet
7.67663,1.93647,0.151,95.9,epsilon Tau
1.37669,1.19471,0.06,32.2,epsilon Ret
1.05448,3.37558,0.25,18.6,epsilon Eri
6.04937,1.23696,0.11,129.4,epsilon CrB
,8.75626,0.021,,beta Pic
2.75822,1.75739,0.02,41,beta Gem
6.1,1.4219,0.19,126.1,bet UMi
7.8,1.67364,0.08,133,bet Cnc
0.00354639,0.0418506,0,0.51,alpha Cen B
1.71662,1.1296,0.25,41.1,alpha Ari
1.15082,0.0508651,0,145,XO-5
1.60219,0.05524,0,168.6,XO-4
13.0547,0.0477112,0.2884,1488,XO-3
1.371,0.47557,0.1528,57.68,XO-2S
0.259,0.134393,0.18,20.64,XO-2S
0.566437,0.0368369,0,85,XO-2
0.918265,0.049283,0,116,XO-1
1.11131,0.0185537,0,256,WTS-2
3.98653,0.0466301,0.05,479,WTS-1
2.77639,0.0716458,0,242.2,WASP-99
0.828342,0.0356868,0,150,WASP-98
1.31694,0.0330527,0,194.5,WASP-97
0.478203,0.0453489,0,62,WASP-96
1.2034,0.0341288,0,175.7,WASP-95
0.619839,0.0334746,0,86.48,WASP-94 B
0.418542,0.0532427,0,45.4,WASP-94 A
5.82159,0.0427555,0.193,848,WASP-89
0.563202,0.0643804,0,52.4,WASP-88
0.694028,0.0771322,0,77.4,WASP-84
0.296234,0.0590285,0,32.9,WASP-83
1.24683,0.0448251,0,130.7,WASP-82
0.551763,0.0344696,0,110.9,WASP-80
2.13728,0.080153,0.31,222.23,WASP-8
0.884655,0.0534741,0,88.2,WASP-79
0.877779,0.0361391,0,113.8,WASP-78
1.75912,0.0240531,0,321.9,WASP-77 A
1.06236,0.0375112,0,146,WASP-75
0.939613,0.0370185,0,114.1,WASP-74
1.87866,0.0551807,0,196.3,WASP-73
1.40552,0.036575,0,181.3,WASP-72
2.24554,0.0463361,0,236.4,WASP-71
0.589331,0.0485382,0,72.3,WASP-70 A
0.919256,0.0604573,0,97,WASP-7
0.259116,0.0452527,0,38.1,WASP-69
0.956493,0.0621834,0,97.9,WASP-68
0.418184,0.0517914,0,56,WASP-67
2.30754,0.0546221,0,246,WASP-66
1.2691,0.0265195,0,221,WASP-64
0.377818,0.0574592,0,39,WASP-63
0.562022,0.0567187,0,60,WASP-62
2.05477,0.0514489,0,233,WASP-61
0.511799,0.0531121,0,60.8,WASP-60
0.521174,0.0428704,0.054,74.3,WASP-6
0.859026,0.0696866,0.1,109.6,WASP-59
0.890462,0.0562022,0,110.1,WASP-58
0.675475,0.0386362,0,100,WASP-57
0.605178,0.056145,0,69,WASP-56
0.57116,0.0532575,0,70,WASP-55
0.630293,0.049881,0.067,73,WASP-54
0.45566,0.0271336,0,84.3,WASP-52
1.46438,0.0294714,0.009,256.6,WASP-50
1.62047,0.0271923,0,277.8,WASP-5
0.376728,0.0378972,0,56.8,WASP-49
0.969551,0.034488,0,136.02,WASP-48
1.23683,1.36067,0.13,30,WASP-47
1.1233,0.0509676,0,140,WASP-47
,0.0854327,,,WASP-47
2.08495,0.0244921,0,387,WASP-46
1.00188,0.0405459,0,148.3,WASP-45
0.88769,0.0347371,0,138.8,WASP-44
1.7613,0.0142363,0,550.3,WASP-43
0.496749,0.0547344,0,64.3,WASP-42
2.97516,0.950245,0.294,94,WASP-41
0.93905,0.0402101,0,138,WASP-41
1.22306,0.0230406,0,240,WASP-4
0.284135,0.0485835,0,38,WASP-39
2.70891,0.0758454,0.028,252,WASP-38
1.79324,0.0446312,0,250.7,WASP-37
2.25537,0.0262601,0,391.4,WASP-36
0.716644,0.0431283,0,94.82,WASP-35
0.581308,0.0520747,0.038,72.1,WASP-34
0,0.0255483,0,0,WASP-33
3.441,0.0390315,0,478,WASP-32
